career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Business Consultant,1.0,5.17,1.53,2.7,4.87,5.85,3,5,1,1,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Bachelors,Commerce/Business,Never,Mostly indoor,18-22,I enjoy building frameworks that simplify very complex business problems into clear choices,I would start my own consulting firm completely focused on sustainable business practices,I am known for asking the one question in a meeting that changes the entire strategic direction,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Supply Chain Manager,2.45,2.89,1.82,2.29,5.25,5.39,3,4,4,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Bachelors,Commerce/Business,Basic,Mostly indoor,23-27,I love optimizing complex networks and finding costly inefficiencies that others miss completely,I would design supply chains that are completely transparent and entirely ethically sourced,People say I have an exceptional ability to coordinate many complex moving parts simultaneously,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Mechanical Engineer,5.95,5.07,1.76,1.24,1.76,4.77,4,2,5,1,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Somewhat,PhD,Science/Math,Never,Both equally,Under 18,I get excited by the challenge of making mechanical systems dramatically more efficient,I would build manufacturing systems that produce goods with absolutely zero waste,Friends always ask me to fix mechanical things because I can figure absolutely anything out,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
HR Manager,1.4,2.09,1.2,3.25,6.64,5.22,3,4,1,2,Office,Large (20+),Medium,Moderate,Job stability,People,Very,Pursuing,Commerce/Business,Never,Strongly indoor,23-27,I love the challenge of attracting and retaining exceptional talent for organizations,I would consult for organizations to build truly inclusive workplaces around the world,Colleagues say I can sense team dynamics and address issues before they ever escalate,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Software Engineer,2.91,5.82,2.57,2.03,1.42,5.08,4,4,5,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Somewhat,Bachelors,Science/Math,Expert,Strongly indoor,23-27,I love automating repetitive tasks and making entire systems more efficient,I would build developer tools that make programming ten times faster,People always ask me to review their code and system architecture designs,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Environmental Scientist,5.23,5.94,1.0,3.66,1.91,3.97,4,4,4,3,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Extremely,PhD,Science/Math,Basic,Both equally,23-27,I get passionate about finding real solutions to pollution and environmental degradation,I would restore degraded ecosystems and bring endangered species back from the absolute brink,Friends say I notice environmental details in every single place I visit completely automatically,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Entrepreneur,2.65,2.47,1.36,2.41,6.91,5.15,1,2,1,4,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Very,Pursuing,Commerce/Business,Never,Both equally,28-35,I get excited by building something from nothing and growing it through sheer persistent effort,I would start multiple ventures across different domains I am genuinely passionate about,Friends say I turn every single problem I encounter into a potential business opportunity,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Biotechnologist,5.29,6.34,1.73,1.63,2.18,3.79,4,1,5,2,Lab,Small (2-5),Medium,Slow and steady,Making impact,Physical things,Extremely,Pursuing,Science/Math,Intermediate,Mostly indoor,18-22,I enjoy designing experiments that push the absolute boundaries of what living cells can do,I would create biodegradable materials that completely replace plastic in every product,I am known for my ability to connect fundamental biological principles to real world problems,102270,37400,Science | Reading Comprehension | Active Learning | Critical Thinking | Writing | Speaking | Mathematics | Active Listening
Data Scientist,2.31,6.73,2.28,1.1,1.74,5.34,4,4,5,3,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I enjoy cleaning messy data and turning chaos into structured meaningful insights,I would create data pipelines that power real time decision making at scale,People say I can explain complex analysis results to non technical audiences,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Supply Chain Manager,2.31,3.89,1.0,2.86,4.99,5.29,4,3,4,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Pursuing,Commerce/Business,Basic,Mostly indoor,23-27,I enjoy finding the bottleneck in a supply chain that is silently costing millions every month,I would create supply chains so efficient they make products affordable for everyone globally,People say I can model supply chain scenarios and predict disruptions before they actually happen,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Architect,3.79,4.92,3.33,2.39,3.79,4.49,3,2,3,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Very,Masters,Mixed,Never,Both equally,23-27,I enjoy the technical challenge of making a building structurally sound and stunning,I would design iconic public spaces that become lasting symbols of their cities,I am known for my ability to blend artistic vision with very precise technical detail,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
AI/ML Engineer,3.69,6.6,3.14,1.63,3.55,3.83,4,2,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,Pursuing,Science/Math,Expert,Strongly indoor,23-27,I get excited by the challenge of deploying ML models into real production systems,I would develop responsible AI frameworks that benefit all of humanity equally,I am known for my ability to debug models and identify subtle training issues,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Graphic Designer,3.07,1.87,7.0,2.58,3.7,3.44,2,3,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,18-22,I enjoy the challenge of making complex information beautiful and digestible,I would create visual campaigns for social causes I deeply believe in,I am known for my ability to communicate emotions through visual elements,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Research Scientist,3.95,7.0,2.95,2.3,2.38,3.71,5,3,3,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Very,Masters,Science/Math,Intermediate,Mostly indoor,23-27,I love asking questions that nobody has answered yet and designing experiments,I would run a lab researching cures for diseases that still have absolutely no treatment,People say I have an extraordinary ability to focus deeply and intensely for very long periods,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Marketing Manager,1.23,3.02,1.86,3.13,6.72,4.24,1,4,2,4,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Somewhat,Pursuing,Commerce/Business,Basic,Mostly indoor,35+,I enjoy combining creativity and data to build campaigns that actually convert,I would start a creative agency that tells powerful brand stories worldwide,I am known for my creativity and ability to spot emerging trends before anyone else,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
AI/ML Engineer,3.19,6.85,2.7,2.32,2.63,4.34,5,1,5,1,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,Masters,Science/Math,Expert,Strongly indoor,23-27,I love reading research papers and implementing state of the art algorithms,I would build the next generation of AI assistants that truly understand humans,Friends say I can explain neural networks in a way that actually makes sense,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Research Scientist,3.56,6.61,2.89,2.32,2.02,4.35,5,4,3,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Somewhat,Pursuing,Science/Math,Intermediate,Mostly indoor,23-27,I love asking questions that nobody has answered yet and designing experiments,I would run a lab researching cures for diseases that still have absolutely no treatment,People say I have an extraordinary ability to focus deeply and intensely for very long periods,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Business Consultant,2.37,5.27,1.15,3.3,5.64,5.96,4,4,2,3,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,PhD,Commerce/Business,Never,Mostly indoor,23-27,I get excited by the variety of industries and complex problems I get to work on each month,I would specialize in digital transformation and help traditional companies genuinely evolve,Colleagues say my slide decks and presentations are always the clearest in every single room,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
UX Designer,2.94,3.53,6.27,4.71,2.76,2.8,3,3,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Very,Bachelors,Arts/Humanities,Intermediate,Mostly indoor,28-35,I enjoy conducting user research and translating insights into better designs,I would run a design studio focused on human centered product design globally,Friends always ask me to review apps and websites before they launch them,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Architect,4.06,5.51,3.4,2.16,2.63,5.64,4,3,4,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Somewhat,Bachelors,Mixed,Never,Both equally,Under 18,I get excited when I can design a space that changes how people feel and move,I would create affordable housing that is beautiful dignified and genuinely livable,Friends always ask me to help redesign their homes and reimagine their living spaces,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Architect,3.93,4.75,3.65,3.01,3.49,4.08,3,2,4,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Very,Pursuing,Mixed,Never,Both equally,23-27,I get excited when I can design a space that changes how people feel and move,I would create affordable housing that is beautiful dignified and genuinely livable,Friends always ask me to help redesign their homes and reimagine their living spaces,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
